AttemptID;RetryNumber;WaveNumber;Death;CurrentJitter;SmoothedJitter;IsHard;JitterPeak;JitterVariance;JitterStdDev;JitterEvents;OvershootCount;JitterArea;JitterDirectionBias;JitterClusters
WaveFailTime;0;172.6331
WaveFailTime;0;202.8955
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;0.3790;1.0605;0;1.1677;0.0641;0.2532;0;6;6.1157;0.2636;0
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;0.4719;0.4252;0;0.5757;0.0326;0.1806;0;6;4.5166;0.0929;0
TimeToTargetHit;1;Enemy2_Wave1_BOT_rotador;7.2361
3;2;1;1;0.0000;0.3958;0;0.7999;0.0390;0.1975;0;6;5.6132;-0.4719;0
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;0.2676;0.1962;0;0.6202;0.0383;0.1958;0;7;3.9050;0.2676;0
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;0.3626;0.3850;0;0.6638;0.0281;0.1676;0;6;4.8217;0.0950;0
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;0.2487;0.3851;0;0.9031;0.0574;0.2395;0;8;4.5263;-0.1140;0
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;0.0862;0.2217;0;0.6193;0.0408;0.2019;0;8;3.7133;-0.1624;0
3;2;1;1;0.1028;0.2490;0;0.6110;0.0343;0.1851;0;7;4.5068;0.0166;0
3;2;1;1;0.1170;0.2349;0;0.4567;0.0143;0.1195;0;6;3.4841;0.0142;0
3;2;1;1;0.1009;0.0992;0;0.1813;0.0011;0.0331;0;7;1.0459;-0.0162;0
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
